OBJECTID,COSEWICID,SCI_NAME,COM_NAME_E,COM_NAME_F,TAXON_E,TAXON_F,SAR_STAT_E,SAR_STAT_F,SCHEDULE_E,SCHEDULE_F,SOURCE_E,SOURCE_F,FCLASS,IMAGE_SRC,Reviewed_YN,Reviewer,ReviewDateDMY,Historical_YN,EC_SOI_YN,DataSource,MB_YN,Shape_STArea__,Shape_STLength__,Shape_Length,Shape_Area,COSEWICID_NAME
125,775,Silene scouleri ssp. grandis,Coastal Scouler's Catchfly,Grand silène de Scouler,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Silene_scouleri_grandis,silesco.JPG,N,,,N,Y,SARR,,0.006578917,0.334780464,0.334780464,0.006578917,COSEWICID_775
126,778,Triteleia howellii,Howell's Triteleia,Tritéléia de Howell,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Triteleia_howellii,trithow.JPG,N,,,N,Y,SARR,,0.078364181,2.441714801,2.441714801,0.078364181,COSEWICID_778
127,779,Tonella tenella,Small–flowered Tonella,Tonelle délicate,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Tonella_tenella,toneten.JPG,N,,,N,Y,SARR,,0.016060717,0.773986541,0.773986541,0.016060717,COSEWICID_779
128,789,Copablepharon fuscum,Sand–verbena Moth,Noctuelle de l'abronie,Arthropods,Arthropodes,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Copablepharon_fuscum,copafus.JPG,N,,,N,Y,SARR,,0.028324283,1.36346675,1.36346675,0.028324283,COSEWICID_789
129,790,Eremophila alpestris strigata,Horned Lark strigata subspecies,Alouette hausse-col de la sous-espèce strigata,Birds,Oiseaux,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Eremophila_alpestris_strigata,erem_alp_1.JPG,N,,,N,Y,COSEWIC,Y,0.06951699,2.360606126,2.360606126,0.06951699,COSEWICID_790
130,792,Hesperia dacotae,Dakota Skipper,Hespérie du Dakota,Arthropods,Arthropodes,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Hesperia_dacotae,hespdac.JPG,N,,,N,Y,SARR,,0.649191342,6.783385611,6.783385611,0.649191342,COSEWICID_792
131,796,Oarisma poweshiek,Poweshiek Skipperling,Hespérie de Poweshiek,Arthropods,Arthropodes,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Oarisma_poweshiek,oaripow.JPG,N,,,N,Y,SARR,,0.106815077,1.242664396,1.242664396,0.106815077,COSEWICID_796
132,797,Phoebastria albatrus,Short–tailed Albatross,Albatros à queue courte,Birds,Oiseaux,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Phoebastria_albatrus,phoealb.JPG,N,,,N,Y,SARR,Y,10.38667692,175.7750554,175.7750554,10.38667692,COSEWICID_797
133,806,Bryoerythrophyllum columbianum,Columbian Carpet Moss,Érythrophylle du Columbia,Mosses,Mousses,Special Concern,Préoccupante,Schedule 1,Annexe 1,Digitized,Numérisé,Bryoerythrophyllum_columbianum,bryocol.JPG,N,,,N,Y,SARR,,0.197969404,4.353756306,4.353756306,0.197969404,COSEWICID_806
134,808,Crotalus oreganus,Western Rattlesnake,Crotale de l'Ouest,Reptiles,Reptiles,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Crotalus_oreganus,crotore.JPG,N,,,N,Y,SARR,,0.83068399,13.38242638,13.38242638,0.83068399,COSEWICID_808
135,809,Entosthodon rubiginosus,Rusty Cord–moss,Entosthodon rouilleux,Mosses,Mousses,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Entosthodon_rubiginosus,entorub.JPG,N,,,N,Y,SARR,,0.082751329,1.877554426,1.877554426,0.082751329,COSEWICID_809
136,813,Lotus pinnatus,Bog Bird’s–foot Trefoil,Lotier à feuilles pennées,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Lotus_pinnatus,lotupin.JPG,N,,,N,Y,SARR,,0.044900696,1.12177442,1.12177442,0.044900696,COSEWICID_813
137,815,Minuartia pusilla,Dwarf Sandwort,Minuartie naine,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Minuartia_pusilla,minupus.JPG,N,,,N,Y,SARR,,0.011479714,0.465778625,0.465778625,0.011479714,COSEWICID_815
138,816,Orthocarpus bracteosus,Rosy Owl–clover,Orthocarpe à épi feuillu,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Orthocarpus_bracteosus,orthbra.JPG,N,,,N,Y,SARR,,0.007351292,0.344332923,0.344332923,0.007351292,COSEWICID_816
139,818,Pterygoneurum kozlovii,Alkaline Wing–nerved Moss,Ptérygoneure de Koslov,Mosses,Mousses,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Pterygoneurum_kozlovii,pterkoz.JPG,N,,,N,Y,SARR,,1.182604548,12.19834082,12.19834082,1.182604548,COSEWICID_818
140,819,Puffinus creatopus,Pink–footed Shearwater,Puffin à pieds roses,Birds,Oiseaux,Threatened,Menacée,Schedule 1,Annexe 1,Non-digitized,NatureServe,Puffinus_creatopus, ,N,,,N,Y,NatureServe,Y,25.92254808,156.2796756,156.2796756,25.92254808,COSEWICID_819
141,820,Syntrichia laevipila,Twisted Oak Moss,Tortule à poils lisses,Mosses,Mousses,Special Concern,Préoccupante,Schedule 1,Annexe 1,Digitized,Numérisé,Syntrichia_laevipila,syntlae.JPG,N,,,N,Y,SARR,,0.086016899,3.151928654,3.151928654,0.086016899,COSEWICID_820
142,821,Abronia umbellata,Pink Sand–verbena,Abronie rose,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Abronia_umbellata,abroumb.JPG,N,,,N,Y,SARR,,0.007522353,0.529933955,0.529933955,0.007522353,COSEWICID_821
143,831,Phlox speciosa ssp. occidentalis,Showy Phlox,Phlox de l'Ouest,Vascular Plants,Plantes vasculaires,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Phlox_speciosa_occidentalis,phlospe.JPG,N,,,N,Y,SARR,,0.056049866,0.915190225,0.915190225,0.056049866,COSEWICID_831
144,844,Castilleja rupicola,Cliff Paintbrush,Castilléjie des rochers,Vascular Plants,Plantes vasculaires,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Castilleja_rupicola,castrup.JPG,N,,,N,Y,SARR,,0.13985826,2.699581082,2.699581082,0.13985826,COSEWICID_844
145,848,Entosthodon fascicularis,Banded Cord–moss,Entosthodon fasciculé,Mosses,Mousses,Special Concern,Préoccupante,Schedule 1,Annexe 1,Digitized,Numérisé,Entosthodon_fascicularis,entofas.JPG,N,,,N,Y,SARR,,0.373186804,7.254430484,7.254430484,0.373186804,COSEWICID_848
146,849,Epilobium densiflorum,Dense Spike–primrose,Epilobe densiflore,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Epilobium_densiflorum,epilden.JPG,N,,,N,Y,SARR,,0.053191377,2.130778356,2.130778356,0.053191377,COSEWICID_849
147,853,Schinia bimatris,White Flower Moth,Héliotin blanc satiné,Arthropods,Arthropodes,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Schinia_bimatris,schibim.JPG,N,,,N,Y,SARR,,0.107248649,1.239779742,1.239779742,0.107248649,COSEWICID_853
148,856,Lupinus densiflorus,Dense–flowered Lupine,Lupin densiflore,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Lupinus_densiflorus,lupiden.JPG,N,,,N,Y,SARR,,0.02019667,0.617364495,0.617364495,0.02019667,COSEWICID_856
149,857,Meconella oregana,White Meconella,Méconelle d'Orégon,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Meconella_oregana,mecoore.JPG,N,,,N,Y,SARR,,0.064530805,2.346657278,2.346657278,0.064530805,COSEWICID_857
150,859,Microbryum vlassovii,Nugget Moss,Phasque de Vlassov,Mosses,Mousses,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Microbryum_vlassovii,micr_vla.JPG,N,,,N,Y,COSEWIC,,0.009342129,0.531269252,0.531269252,0.009342129,COSEWICID_859
151,862,Orthocarpus barbatus,Grand Coulee Owl–clover,Orthocarpe barbu,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Orthocarpus_barbatus,orthbar.JPG,N,,,N,Y,SARR,,0.031129906,0.972038168,0.972038168,0.031129906,COSEWICID_862
152,863,Phacelia ramosissima,Branched Phacelia,Phacélie rameuse,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Phacelia_ramosissima,phacram.JPG,N,,,N,Y,SARR,,0.033066584,0.751180254,0.751180254,0.033066584,COSEWICID_863
