"OBJECTID","COSEWICID","SCI_NAME","COM_NAME_E","COM_NAME_F","TAXON_E","TAXON_F","SAR_STAT_E","SAR_STAT_F","SCHEDULE_E","SCHEDULE_F","SOURCE_E","SOURCE_F","FCLASS","IMAGE_SRC","Reviewed_YN","Reviewer","ReviewDateDMY","Historical_YN","EC_SOI_YN","DataSource","Shape_STArea__","Shape_STLength__","Shape_Length","Shape_Area"
"301","633","Eleocharis tuberculosa","Tubercled Spike–rush","Éléocharide tuberculée","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Unknown","Inconnu","Eleocharis_tuberculosa","","N","","","N","Y","Environment Canada","0.0401262021941875","1.07929668055857","1.07929668055857","0.0401262021938917"
"302","642","Ambystoma jeffersonianum","Jefferson Salamander","Salamandre de Jefferson","Amphibians","Amphibiens","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Ambystoma_jeffersonianum","","N","","","N","Y","Environment Canada","0.702304322055852","7.171942962912","7.17194296291205","0.702304322057146"
"303","646","Eleocharis equisetoides","Horsetail Spike–rush","Éléocharide fausse–prêle","Vascular Plants","Plantes vasculaires","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Eleocharis_equisetoides","","N","","","N","Y","Environment Canada","0.00860477413402805","0.334521067695193","0.334521067695194","0.00860477413517074"
"304","647","Asplenium scolopendrium","Hart's–tongue Fern","Scolopendre","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Unknown","Inconnu","Asplenium_scolopendrium","","N","","","N","Y","Environment Canada","0.468690767718272","9.40069286340532","9.40069286340533","0.46869076771519"
"305","678","Salix jejuna","Barrens Willow","Saule des landes","Vascular Plants","Plantes vasculaires","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Salix_jejuna","","N","","","N","Y","Environment Canada","0.0630981336557852","1.49369816910738","1.49369816910738","0.0630981336585409"
"306","682","Crotalus horridus","Timber Rattlesnake","Crotale des bois","Reptiles","Reptiles","Extirpated","Disparue du pays","Schedule 1","Annexe 1","Digitized","Numérisé","Crotalus_horridus","Crot_horr.JPG","N","","","N","Y","LAP_SAR_O2_20130328","6.55433518659265e-006","0.0261477930271172","0.0261477930271172","6.55433523270145e-006"
"307","687","Charadrius melodus melodus","Piping Plover melodus subspecies","Pluvier siffleur de la sous-espèce melodus","Birds","Oiseaux","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Charadrius_melodus_melodus","","N","","","N","Y","Environment Canada","1.20920778762661","49.427580619147","49.427580619147","1.20920778762869"
"308","695","Ambystoma tigrinum","Tiger Salamander (Great Lakes population)","Salamandre tigrée (Population des Grands Lacs)","Amphibians","Amphibiens","Extirpated","Disparue du pays","Schedule 1","Annexe 1","Digitized","Numérisé","Ambystoma_tigrinum_Great_Lakes","Amby_tigr.jpg","N","","","Y","Y","LAP_SAR_O2_20130328","0.00171177918832655","0.189583624779157","0.189583624779157","0.00171177918752705"
"309","702","Erioderma pedicellatum","Boreal Felt Lichen (Atlantic population)","Érioderme boréal (Population de l'Atlantique)","Lichens","Lichens","Endangered","En voie de disparition","Schedule 1","Annexe 1","Digitized","Numérisé","Erioderma_pedicellatum","erioped.JPG","N","","","N","Y","SARR","0.0588124980897646","1.63445938410507","1.63445938410507","0.0588124980895065"
"310","703","Erioderma pedicellatum","Boreal Felt Lichen (Boreal population)","Érioderme boréal (Population boréale)","Lichens","Lichens","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Erioderma_pedicellatum_nl","erioped_b.JPG","N","","","N","Y","SARR","0.673163690672254","13.2041047638477","13.2041047638477","0.673163690672942"
